,UnixTime,YEAR,MO,DY,date,week,ALLSKY_KT,Radiation,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX,WS2M,T2M,TS,QV2M,RH2M,PRECTOTCORR,PRESSION,SPEED,WIND,CLRSKY_SFC_SW_DWN,WS50M,WD50M,DayLengthinsec
0,978307200.0,2001.0,1.0,1.0,01/01/2001,1.0,0.2,304.21,20.24,67.41,3.02,0.05,0.24,1.7,-0.8,0.62,2.93,79.81,0.17,95.75,2.39,154.94,3.83,3.22,155.38,49980.0
1,978393600.0,2001.0,1.0,2.0,02/01/2001,1.0,0.15,287.96,15.28,65.8,2.27,0.04,0.18,2.31,-2.24,-1.61,2.5,76.94,0.32,96.37,3.23,75.25,3.69,4.08,75.25,49920.0
2,978480000.0,2001.0,1.0,3.0,03/01/2001,1.0,0.62,242.3,58.45,69.97,7.2,0.12,-999.0,2.45,3.16,2.92,2.99,64.5,0.0,95.93,3.88,283.62,3.89,6.45,284.06,49920.0
3,978566400.0,2001.0,1.0,4.0,04/01/2001,1.0,0.75,260.27,71.73,72.8,8.63,0.15,0.72,2.73,7.37,6.77,3.17,50.19,0.01,95.29,4.37,264.25,4.0,7.59,264.44,49920.0
4,978652800.0,2001.0,1.0,5.0,05/01/2001,1.0,0.77,258.05,73.52,73.57,9.01,0.15,0.74,2.95,7.3,6.3,3.97,60.69,0.0,94.96,4.52,151.88,4.05,6.89,152.25,49860.0
5,978739200.0,2001.0,1.0,6.0,06/01/2001,1.0,0.68,300.84,67.88,72.52,8.52,0.14,0.68,2.39,10.06,8.4,4.76,63.06,0.0,94.25,3.81,242.0,3.87,6.15,242.25,49800.0
6,978825600.0,2001.0,1.0,7.0,07/01/2001,2.0,0.51,291.24,51.03,71.97,6.7,0.11,0.53,4.31,6.61,6.48,3.85,62.94,0.0,94.8,6.32,128.38,3.89,9.56,129.0,49740.0
7,978912000.0,2001.0,1.0,8.0,08/01/2001,2.0,0.71,250.8,67.71,74.31,8.52,0.13,0.66,1.79,5.41,4.43,3.05,58.12,0.0,95.32,2.98,259.19,4.2,4.44,259.62,49680.0
8,978998400.0,2001.0,1.0,9.0,09/01/2001,2.0,0.72,273.71,70.97,73.8,8.84,0.13,0.66,2.68,5.99,5.91,3.17,54.81,0.64,95.26,4.1,192.75,4.05,6.41,192.56,49680.0
9,979084800.0,2001.0,1.0,10.0,10/01/2001,2.0,0.12,328.8,13.23,69.51,2.08,0.04,0.19,2.52,4.07,4.03,4.88,90.44,12.98,94.78,3.63,168.44,3.71,5.05,169.56,49620.0
10,979171200.0,2001.0,1.0,11.0,11/01/2001,2.0,0.54,275.66,54.57,73.1,7.0,0.12,0.61,2.26,4.87,4.42,4.52,81.19,0.0,94.86,3.27,244.75,4.06,4.39,245.0,49560.0
11,979257600.0,2001.0,1.0,12.0,12/01/2001,2.0,0.45,301.71,47.44,71.99,6.54,0.12,0.63,2.78,5.34,5.29,5.31,88.94,0.16,94.86,4.12,172.62,3.96,6.06,173.38,49500.0
12,979344000.0,2001.0,1.0,13.0,13/01/2001,2.0,0.62,292.27,63.39,74.17,8.13,0.16,0.77,5.55,9.8,9.62,4.58,61.0,0.58,94.45,7.88,236.94,4.1,11.09,237.88,49440.0
13,979430400.0,2001.0,1.0,14.0,14/01/2001,3.0,0.77,249.51,76.28,76.96,9.43,0.16,0.75,2.08,5.76,5.37,3.11,53.5,0.0,94.95,3.19,206.0,4.33,5.02,205.38,49320.0
14,979516800.0,2001.0,1.0,15.0,15/01/2001,3.0,0.53,287.23,55.72,73.32,7.34,0.13,0.66,2.78,6.37,6.3,4.15,68.44,0.05,94.98,4.14,127.0,4.01,5.97,127.81,49260.0
15,979603200.0,2001.0,1.0,16.0,16/01/2001,3.0,0.09,331.31,11.56,72.56,1.84,0.04,0.2,4.18,5.55,5.76,5.31,89.19,1.97,94.61,5.8,90.0,3.86,7.23,91.38,49200.0
16,979689600.0,2001.0,1.0,17.0,17/01/2001,3.0,0.1,307.41,12.2,75.33,1.91,0.04,0.19,4.48,1.15,1.78,3.54,82.06,0.86,94.99,6.17,20.62,4.07,7.61,21.19,135540.0
17,979776000.0,2001.0,1.0,18.0,18/01/2001,3.0,0.15,304.26,17.59,70.52,2.7,0.05,0.27,3.66,1.6,2.02,3.42,77.69,1.45,94.79,5.2,147.88,3.88,7.12,133.31,135480.0
18,979862400.0,2001.0,1.0,19.0,19/01/2001,3.0,0.75,246.62,76.29,78.28,9.44,0.13,0.68,3.43,1.13,1.33,2.69,65.94,0.0,95.49,5.05,244.5,4.39,7.12,244.75,135420.0
