YEAR;MO;DY;date;week;Radiation;QV2M;RH2M;PRECTOTCORR;PS;WS10M;WS10M_RANGE;WD10M;WS50M;WS50M_RANGE;WD50M;T2M;T2MDEW;T2MWET;TS;T2M_RANGE;T2M_MAX;T2M_MIN
1981;1;31;31/01/1981;5;2.62;2.93;55.94;0.14;99.69;3.91;3.18;73.0;5.9;3.73;73.31;4.83;-3.78;0.52;4.24;-259.38;12.38;-1.39
1981;2;1;01/02/1981;6;1.75;4.27;82.81;2.93;99.8;2.73;2.45;110.62;4.23;5.1;110.75;4.55;1.58;3.06;4.67;-261.99;10.63;-0.53
1981;2;2;02/02/1981;6;1.88;3.97;72.19;2.89;99.9;2.75;2.41;48.81;3.91;4.08;49.56;5.96;0.56;3.26;6.19;-262.74;12.53;2.12
1981;2;3;03/02/1981;6;2.02;3.97;73.88;0.0;99.68;3.18;1.98;122.38;5.0;5.89;122.81;5.31;0.46;2.88;5.46;-259.47;13.33;-0.35
1981;2;4;04/02/1981;6;2.51;3.66;67.62;0.0;99.12;3.59;5.4;229.19;5.36;9.11;229.69;5.49;-0.75;2.37;4.69;-262.38;12.08;1.31
1981;2;5;05/02/1981;6;5.83;3.78;59.5;0.01;98.34;7.84;4.22;255.88;10.98;2.48;256.75;6.83;-0.56;3.14;6.43;-261.92;12.78;1.55
1981;2;6;06/02/1981;6;3.73;3.72;62.06;0.01;99.02;5.37;5.12;315.88;7.9;5.3;316.06;6.98;-0.57;3.2;6.54;-260.37;14.66;1.87
1981;2;7;07/02/1981;6;2.28;4.33;70.38;0.05;99.46;3.55;3.0;111.12;5.29;3.55;111.38;6.96;1.56;4.26;6.73;-259.95;14.16;0.98
1981;2;8;08/02/1981;7;1.55;4.27;63.5;0.02;99.69;2.27;2.27;72.38;3.09;3.22;71.69;8.54;1.51;5.02;7.42;-259.37;15.79;2.01
1981;2;9;09/02/1981;7;1.77;4.46;65.5;0.0;99.53;2.62;4.47;176.69;3.81;6.0;176.62;8.95;2.02;5.49;8.32;-258.63;16.07;1.55
1981;2;10;10/02/1981;7;2.23;3.6;49.69;0.0;99.03;3.42;4.92;132.12;4.95;6.43;132.38;10.31;-0.92;4.7;9.0;-256.59;19.32;2.76
1981;2;11;11/02/1981;7;2.1;3.17;44.0;0.0;98.7;3.16;3.65;170.5;4.85;5.05;170.44;10.47;-2.77;3.85;9.26;-255.7;20.08;2.63
1981;2;12;12/02/1981;7;2.89;2.81;32.12;0.09;98.19;4.45;4.84;156.0;7.16;7.66;156.19;12.51;-4.38;4.06;11.5;-257.39;21.73;5.98
1981;2;13;13/02/1981;7;3.32;4.33;37.62;0.06;97.93;4.79;4.15;216.75;7.66;7.27;217.12;15.53;0.65;8.09;15.19;-261.52;23.04;11.4
1981;2;14;14/02/1981;7;1.83;5.98;68.12;0.0;98.31;2.95;2.1;256.69;4.54;3.66;257.19;12.27;5.76;9.01;11.45;-263.99;18.11;8.94
